식품명,1회제공량,에너지(Kcal),단백질(g),탄수화물(g),지질(g),총당류(g),나트륨(mg),식품코드
냉이된장국,400.0,86.47,6.85,8.81,2.65,1.18,943.35,D018062
달걀국,400.0,52.37,3.73,2.74,2.94,0,984.54,D018063
닭개장,700.0,142.98,19.17,9.88,2.97,4,1168.18,D018064
닭곰탕,650.0,330.4,48.8,13.01,9.24,1.93,1105.06,D018065
대합미역국,400.0,44.84,4.93,2.24,1.8,0.05,927.64,D018066
도가니탕,500.0,198.17,41.76,4.1,1.63,0,751.98,D018067
동태국,400.0,66.87,9.66,5.61,0.64,0,895.7,D018068
메밀묵국,400.0,87.38,3.99,14.26,1.59,1.12,953.71,D018069
무시래기된장국,400.0,61.11,5.22,8.11,0.86,0,779.28,D018070
미역국,400.0,46.36,2.58,3.49,2.45,1.08,670.7,D018071
미역냉국,350.0,128.81,0.66,26.28,2.34,15.7,518.61,D018072
미역된장국,400.0,96.16,6.25,9.1,3.86,2.43,1219.4,D018073
미역오이냉국,350.0,21.8,1.31,2.98,0.52,2.42,1144.4,D018074
배추된장국,400.0,79.08,5.85,10.33,1.6,0,890.79,D018075
북엇국,400.0,111.03,15.56,3.36,3.93,0.46,929.98,D018076
뼈해장국,800.0,206.01,25.55,8.46,7.77,5.07,2764.62,D018077
사골국,400.0,220.99,22.25,11.24,9.67,0,298.77,D018078
삼계탕,900.0,911.39,96.09,34.57,43.19,4.03,736.67,D018079
새우미역국,400.0,63.22,4.35,7.31,1.84,0,20.5,D018080
새우탕,500.0,163.1,25.84,10.0,2.19,0.3,1340.99,D018081
선짓국(선지해장국),600.0,173.84,23.18,7.39,5.73,0,1874.43,D018082
설렁탕,500.0,118.37,21.3,1.8,2.88,0,109.78,D018083
쇠고기무국,400.0,61.53,5.3,4.38,2.54,0,662.0,D018084
쇠고기미역국,400.0,52.03,7.42,3.28,1.03,2.08,782.02,D018085
쇠고기배춧국,400.0,62.29,7.34,4.57,1.63,0,990.69,D018086
순댓국,600.0,509.46,14.1,89.71,10.47,1.58,1981.58,D018087
순두부달걀탕,350.0,102.39,6.23,3.29,7.14,0,354.96,D018088
시금치된장국,400.0,37.98,4.07,3.91,0.67,0.44,495.32,D018089
쑥된장국,400.0,60.64,4.88,6.08,1.87,2.92,970.74,D018090
아욱된장국,400.0,81.83,9.1,6.34,2.23,0.44,944.34,D018091
애호박된장국,400.0,122.91,13.35,5.62,5.23,1.97,1806.32,D018092
어묵국,350.0,106.95,5.2,13.41,3.61,0.25,790.85,D018093
얼갈이배춧국,400.0,36.23,2.0,3.41,1.62,0.22,778.53,D018094
오이냉국,350.0,38.17,1.47,2.67,2.4,3.11,989.64,D018095
오징어국,500.0,91.91,11.1,3.63,3.67,1.2,1286.69,D018096
우거지곰탕,350.0,88.55,8.29,9.11,2.1,1.17,786.04,D018097
우거지된장국,400.0,78.61,11.08,3.29,2.35,2.5,1163.09,D018098
육개장,440.0,130.33,16.21,6.54,4.37,3.33,884.24,D018099
일본된장국,200.0,20.6,1.42,0.45,1.46,0.51,487.54,D018100
재첩국,350.0,81.91,2.33,15.9,1.0,0,442.44,D018101
조갯국,400.0,62.72,6.67,0.99,3.57,0.71,1188.5,D018102
콩나물국,400.0,24.66,2.95,2.44,0.35,0.65,874.4,D018103
콩나물된장국,400.0,123.17,10.31,10.46,4.45,2.11,1461.21,D018104
토란국,400.0,62.09,4.01,10.42,0.49,1.07,759.86,D018105
해물된장국,400.0,111.58,8.38,10.73,3.9,1.79,1534.58,D018106
호박잎된장국,350.0,23.1,1.41,1.88,1.11,0.25,569.77,D018107
홍합무국,350.0,87.05,2.76,3.0,7.11,0.83,816.38,D018108
떡국,700.0,588.01,24.01,114.57,3.74,0.57,1234.05,D018160
떡만두국,600.0,666.99,21.18,92.83,23.44,0.07,1236.89,D018162
사골만두국,700.0,606.93,26.19,62.6,27.97,0.44,2333.21,D018174
알곤이탕,100.0,78.0,10.0,5.0,1.7,1,510.0,D018809
무청시래기국,100.0,45.0,4.0,5.0,1.3,2,531.0,D018831
대구뽈탕,100.0,65.0,10.0,4.0,0.9,1,471.0,D018832
마라탕,100.0,178.0,9.0,13.0,10.0,1,857.0,D018865
<더 이지>돈사골 순대국,100.0,179.0,5.0,24.0,7.0,1,706.0,D018893
<더 이지>속풀이 황태진국,100.0,329.0,14.0,66.0,0.9,3,872.0,D018895
<더 이지>속깊은 소고기 무국,100.0,79.0,7.0,6.0,2.5,4,864.0,D018896
<구구스>사천마라탕,100.0,133.0,8.0,14.0,5.0,3,569.0,D018903
<파빌리온>설악황태진국,100.0,90.0,8.0,1.0,6.0,0,634.0,D018915
게국지,1100.0,415.25,44.9,31.7,12.1,10.8,4047.26,D000028
곰치국,1000.0,419.29,54.3,23.9,11.8,2.8,3802.06,D000029
굴국밥,650.0,683.0,42.4,88.4,17.8,0.3,1635.39,D000030
김치국,450.0,89.0,5.4,10.5,2.8,2.9,1642.08,D000032
떡만둣국,700.0,624.92,20.06,110.71,11.32,0.16,1980.19,D000036
만둣국,700.0,434.05,21.43,47.83,17.44,3.05,2367.99,D000037
맑은감자국,700.0,221.0,8.3,34.6,5.5,5.2,1712.29,D000038
매생이국,500.0,119.0,10.0,13.4,2.8,0.4,1420.3,D000039
무된장국,450.0,104.0,6.1,14.7,2.4,5.9,1741.46,D000040
미소된장국,150.0,38.0,2.8,2.8,1.8,0.7,517.03,D000041
바지락조개국,550.0,157.0,22.0,10.1,3.1,1.3,1596.17,D000044
뼈다귀해장국,1000.0,714.0,74.6,23.4,35.7,5.7,3088.21,D000046
선지해장국,1000.0,312.0,49.3,16.7,5.4,3.9,3074.53,D000047
소고기무국,400.0,123.0,14.2,7.8,4.0,3.5,1067.02,D000049
시래기된장국,450.0,99.0,6.7,11.0,3.1,1.3,1523.66,D000054
올갱이국,600.0,144.26,13.7,13.0,4.2,1.6,2017.16,D000060
우거지해장국,600.0,154.38,11.9,13.5,5.9,2.5,2049.59,D000062
우렁된장국,500.0,245.0,24.6,19.2,7.7,3.6,2134.21,D000063
홍합미역국,650.0,167.0,19.7,11.6,4.7,0,2043.68,D000066
황태해장국,600.0,181.7,24.5,5.7,6.8,1.5,1533.09,D000067
초당순두부,900.0,522.69,49.1,15.8,29.2,0.9,1203.36,D000081
곰탕,300.0,183.25,19.4,18.1,3.7,0.5,716.36,D000432
광어매운탕,600.0,419.79,58.42,9.13,16.62,1.42,1799.02,D000433
낙지탕,600.0,187.8,29.4,10.4,3.2,1.9,1704.69,D000436
대구매운탕,600.0,361.75,57.36,16.84,7.21,1.09,1983.9,D000440
대구지리탕,600.0,262.02,41.6,9.9,6.2,1.5,1476.25,D000441
메기매운탕,600.0,400.0,28.6,48.6,10.2,5.7,1859.96,D000443
복지리탕,600.0,232.05,41.7,10.3,2.7,1.4,1349.98,D000444
소탕,150.0,86.37,7.66,1.9,5.35,0.03,353.59,D000447
아구탕,600.0,246.07,37.8,12.8,4.9,1.8,1863.34,D000448
어탕,150.0,85.87,12.7,1.82,3.09,0,485.08,D000450
연포탕,1000.0,541.64,94.9,20.19,9.03,0.23,2337.46,D000451
우럭매운탕,600.0,406.82,52.15,11.24,17.03,1.08,1773.88,D000453
전복탕,600.0,196.85,26.8,15.8,3.0,1.3,1774.4,D000456
조기매운탕,600.0,384.38,35.1,17.3,19.4,4.3,2272.92,D000457
짱뚱어탕,600.0,188.77,11.5,16.6,8.5,2.4,2050.9,D000458
추어탕,1000.0,316.72,22.7,26.8,13.2,0,2635.78,D000460
해물탕,600.0,267.81,39.8,16.6,4.7,0.8,2046.24,D000461
바지락맑은국,247.0,46.89,3.93,7.76,0.02,-,359.39,D018562
바지락 미역국,285.0,53.5,8.01,4.1,0.56,-,802.28,D018563
북어 무국,300.0,56.32,8.43,4.32,0.59,-,717.0,D018564
소고기 무국,287.0,46.5,6.49,3.42,0.77,-,226.87,D018565
홍합 배춧국,240.0,23.07,2.01,2.14,0.72,-,60.48,D018566
미역 미소국,245.0,14.34,1.12,2.38,0.04,-,192.69,D018567
토마토 미소된장국,196.0,46.85,3.43,5.29,1.33,-,630.14,D018568
닭곰탕,336.0,89.36,17.88,4.2,0.12,-,653.52,D018569
