식품명,1회제공량,에너지(Kcal),단백질(g),탄수화물(g),지질(g),총당류(g),나트륨(mg),식품코드
게살볶음밥&참치오믈렛,215.0,315.0,10,54,6,3.63,930.0,P086942
맛있닭 다이어트도시락 게살볶음밥&닭가슴살볼 깻잎맛,210.0,330.0,16,56,4,8.0,730.0,P089194
맛있닭 다이어트도시락 연근우엉밥&스팀닭가슴살마늘맛,210.0,326.6,14.5,48.7,8.2,3.2,605.9,P089195
양파송송볶음밥&불고기오믈렛,200.0,310.0,12,49,7,2.16,520.0,P091666
그리밀 단백질쉐이크 곡물맛,25.0,90.0,11,12,0,2.0,170.0,P030688
그리밀 단백질쉐이크 단호박맛,25.0,90.0,11,12,0,2.0,170.0,P030689
그리밀 단백질쉐이크 고구마맛,25.0,90.0,11,12,0,3.0,170.0,P030690
그리밀 단백질쉐이크 녹차라떼맛,25.0,90.0,11,12,0.6,3.0,170.0,P030691
그리밀 단백질쉐이크 딸기라떼맛,25.0,90.0,11,12,0,3.0,170.0,P030692
그리밀 단백질쉐이크 바나나맛,25.0,90.0,11,12,0,3.0,170.0,P030693
그리밀 단백질쉐이크 블루베리요거트맛,25.0,90.0,11,12,0,3.0,160.0,P030694
그리밀 단백질쉐이크 멜론맛,25.0,90.0,11,12,0,2.0,170.0,P030695
그리밀 단백질쉐이크 초코맛,25.0,90.0,11,12,0,2.0,160.0,P030696
그리밀 단백질쉐이크 쿠키앤크림맛,25.0,90.0,11,12,0.5,3.0,170.0,P030697
그리밀 단백질쉐이크 카페라떼맛,25.0,90.0,11,12,0,3.0,160.0,P030698
그리밀 단백질쉐이크 바닐라크림맛,25.0,90.0,11,12,0,3.0,160.0,P030699
스텝 리전트1,100.0,410.0,16,69,8,0.0,140.0,P030823
스텝 리전트2,100.0,415.0,18,66,9,0.0,160.0,P030824
스텝 리전트3,100.0,415.0,20,64,9,0.0,160.0,P030825
스텝 엄선1,100.0,410.0,16,69,8,0.0,120.0,P030826
스텝 엄선2,100.0,415.0,18,66,9,0.0,160.0,P030827
스텝 엄선3,100.0,415.0,20,64,9,51.43,200.0,P030828
아기 사랑1,100.0,518.0,12.5,55.4,27.4,52.14,140.0,P030829
아기 사랑2,100.0,511.0,13.6,55.2,26.2,0.0,150.0,P030830
아기 사랑3,100.0,501.0,16.5,53.1,24.7,47.86,180.0,P030831
아기 사랑4,100.0,490.0,19.5,51.2,23,46.43,200.0,P030832
임페리얼 에스1,100.0,516.0,12.5,55.8,27,0.0,140.0,P030833
임페리얼 에스2,100.0,510.0,13.7,55.4,26,50.71,150.0,P030834
임페리얼 에스3,100.0,501.0,16.8,53.2,24.5,48.0,180.0,P030835
임페리얼 에스4,100.0,491.0,19.8,50.7,23.2,46.0,200.0,P030836
호프닥터,100.0,415.0,17,66,9.2,0.0,260.0,P030837
호프알레기,100.0,506.0,15.5,53,25.8,0.0,180.0,P030838
남양 미숙아분유,100.0,514.0,15,52,27,50.0,200.0,P030897
남양 케토니아,100.0,120.0,2,1,12,0.0,50.0,P030898
남양 호프닥터,100.0,393.0,17,64,9,36.0,286.0,P030899
남양 호프알레기 1,100.0,464.0,12,51,24,43.0,193.0,P030900
남양 호프알레기 2,100.0,464.0,18,50,21,21.0,286.0,P030901
남양키플러스 고소한맛,39.0,155.0,6,26,3.2,17.0,70.0,P030902
남양키플러스 코코아,100.0,406.2,12.5,68.8,9.4,43.7,145.0,P030903
마더스오가닉 3,100.0,478.57,15.71,57.14,20.71,51.43,178.57,P030904
마더스오가닉 4,100.0,471.43,17.86,55.71,20,50.0,200.0,P030905
모성이 빛나는순간 아이엠마더 3,100.0,478.57,15.71,57.14,20.71,48.0,178.57,P030906
모성이 빛나는순간 아이엠마더 4,100.0,471.43,17.86,55.71,20,46.0,200.0,P030907
임페리얼드림 XO World Class 3,100.0,478.57,15.71,57.14,20.71,48.0,178.57,P030910
임페리얼드림 XO World Class 4,100.0,471.43,17.86,55.71,20,46.0,200.0,P030911
한뼘더 큰 아기랑콩이랑 1,120.0,80.0,3.3,9,3.3,5.3,47.0,P030912
한뼘더 큰 아기랑콩이랑 2,120.0,80.0,3.7,9,3,5.3,53.0,P030913
남양 맘스쿠킹 닭가슴살과 당근 영양쌀죽,100.0,37.5,1.25,7.5,0.38,2.5,12.5,P030914
남양 맘스쿠킹 양송이와 연어크림 영양쌀죽,100.0,68.75,1.25,8.12,3.75,2.5,75.0,P030915
남양 맘스쿠킹 전복과 표고버섯 영양쌀죽,100.0,56.25,1.25,8.12,1.88,2.5,37.5,P030916
남양 맘스쿠킹 한우쇠고기와 감자 영양쌀죽,100.0,37.5,1.25,7.5,0.5,2.5,12.5,P030917
남양 맘스쿠킹 한우쇠고기와 두부 영양쌀죽,100.0,62.5,1.62,8.75,2.25,2.5,50.0,P030918
남양 맘스쿠킹 한우쇠고기와 양송이 영양쌀죽,100.0,56.25,1.5,8.12,1.88,0.77,37.5,P030919
남양 명품유기농 엄마의작품 12개월 이후,100.0,380.0,5,80,5,28.0,30.0,P030920
남양 명품유기농 엄마의작품 6개월 이후,100.0,390.0,6.67,80,5,26.0,30.0,P030921
남양 명품유기농 엄마의작품 9개월 이후,100.0,380.0,5,80,5,27.0,30.0,P030922
남양 임페리얼 XO Royal Class 1,100.0,493.0,11.4,60.7,22.8,50.7,135.7,P031031
남양 임페리얼 XO Royal Class 2,100.0,493.0,12,60,23,50.71,143.0,P031032
아기사랑 秀 Expert 1,100.0,492.86,10.71,60.71,22.86,52.14,142.86,P031033
아기사랑 秀 Expert 2,100.0,492.86,12.14,60,22.86,51.43,150.0,P031034
아기사랑 秀 Expert 3,100.0,478.58,15.71,57.14,20.71,47.86,178.57,P031035
아기사랑 秀 Expert 4,100.0,471.43,17.86,55.71,20,46.43,200.0,P031036
엄마로 태어나다 아이엠마더 1,100.0,492.86,10.71,60.71,22.86,50.71,142.86,P031037
엄마로 태어나다 아이엠마더 2,100.0,492.86,12.14,60,22.86,50.0,150.0,P031038
유기농분유 1,100.0,492.86,10.71,60.71,22.86,55.0,142.86,P031039
유기농분유 2,100.0,492.86,12.14,60,22.86,54.29,150.0,P031040
임페리얼분유 XO Royal Class 1,100.0,492.86,10.71,60.71,22.86,52.14,142.86,P031041
임페리얼분유 XO Royal Class 2,100.0,492.86,12.14,60,22.86,50.71,150.0,P031042
임페리얼 드림 XO-4 T,34.0,66.0,2.5,7.8,2.8,5.9,27.0,P031065
아이꼬야 한뼘 더 큰 아기랑 콩이랑2,120.0,80.0,3.7,9,3,5.3,53.0,P031104
아이꼬야 한뼘 더 큰 아기랑 콩이랑1,120.0,80.0,3.3,9,3.3,5.3,47.0,P031105
남양 유기농 엄마의 작품 12개월 이후,100.0,380.0,5,80,5,28.0,30.0,P031109
임페리얼 드림 XO-3 T,34.0,67.0,2.2,8,2.9,5.9,24.0,P031154
엄마로 태어나다 아이엠마더 1,100.0,69.0,1.5,8.5,3.2,7.1,19.0,P031155
엄마로 태어나다 아이엠마더 2,100.0,69.0,1.7,8.4,3.2,7.1,20.0,P031156
아기사랑 秀 THE FIRST Advance 2,100.0,69.0,1.7,8.4,3.2,7.2,20.0,P031157
아기사랑 秀 THE FIRST Advance 1,100.0,69.0,1.5,8.5,3.2,7.3,19.0,P031158
남양 유기농 산양분유 1,100.0,69.0,1.5,8.5,3.2,6.5,19.0,P031159
남양 유기농 산양분유 2,100.0,69.0,1.7,8.4,3.2,6.5,21.0,P031160
임페리얼분유 XO Organic Royal Class 1,100.0,69.0,1.5,8.5,3.2,7.0,19.0,P031161
임페리얼분유 XO Organic Royal Class 2,100.0,69.0,1.7,8.4,3.2,6.9,20.0,P031162
남양케토니아,100.0,120.0,2,1,12,0.0,50.0,P031163
남양 임페리얼드림 XO 이른둥이,100.0,72.0,2.1,7.3,3.8,6.0,32.0,P031164
남양 임페리얼드림 XO Doctor 닥터 설사를 하는 아기용,100.0,55.0,2.3,9,1.2,5.0,40.0,P031165
남양 임페리얼드림 XO 알레기-2,100.0,65.0,2.1,7,3,3.0,30.0,P031166
남양 임페리얼 드림 XO 알레기-1 액상형,100.0,69.0,1.5,8.5,3.2,7.5,27.0,P031167
민감한 아기를 위한 아이엠마더 Comfort care 1,100.0,69.0,1.5,8.5,3.2,5.1,26.0,P031200
민감한 아기를 위한 아이엠마더 Comfort care 2,100.0,69.0,1.7,8.4,3.2,5.0,28.0,P031201
임페리얼드림 XO World Class 3,100.0,67.0,2.2,8,2.9,5.9,24.0,P031202
임페리얼드림 XO World Class 4,100.0,66.0,2.5,7.8,2.8,5.9,27.0,P031203
모성이 빛나는 순간 아이엠마더 3,100.0,67.0,2.2,8,2.9,5.9,24.0,P031204
모성이 빛나는 순간 아이엠마더 4,100.0,66.0,2.5,7.8,2.8,5.1,27.0,P031205
아기사랑 秀 ADVANCE 3,100.0,67.0,2.2,8,2.9,5.9,24.0,P031206
아기사랑 秀 ADVANCE 4,100.0,66.0,2.5,7.8,2.8,5.9,27.0,P031207
남양 임페리얼 드림 XO After  Formula,100.0,62.0,2.7,8.4,2,6.5,30.0,P031208
임페리얼 드림 Oranic 3,100.0,67.0,2.2,8,2.9,5.6,24.0,P031209
유기농 산양유아식 3,100.0,67.0,2.2,7.9,2.9,3.7,27.0,P031210
민감한 아기를 위한 아이엠마더 Comfort care 3,100.0,67.0,2.2,8,2.9,4.8,36.0,P031211
유기농 산양유아식 4,100.0,66.0,2.3,7.8,2.9,3.6,28.0,P031212
민감한 아기를 위한 아이엠마더 Comfort care 4,100.0,66.0,2.5,7.8,2.8,4.7,40.0,P031213
임페리얼 드림 Oranic 4,100.0,67.0,2.2,8,2.9,5.6,24.0,P031214
앱솔맘 코코아,20.0,65.0,-,-,-,6.0,40.0,P035085
아이생각 닭가슴살브로콜리양파 진밥,180.0,150.0,-,-,-,1.0,4.0,P035162
아이생각 한우당근비타민채 묽은죽,180.0,84.0,-,-,-,1.0,5.0,P035163
아이배냇 베베 햅쌀이유식 한우쇠고기미역,110.0,65.0,-,-,-,0.0,55.0,P035164
아이배냇 베베 햅쌀이유식 전복파래,110.0,45.0,-,-,-,1.0,20.0,P035165
아기밀 냠냠 유기농 주스 사과.배,120.0,55.0,-,-,-,13.0,25.0,P035354
디알프리,4.0,13.95,-,-,-,0.43,1.85,P035369
그리밀단백질쉐이크쿠키앤크림맛,25.0,90.0,-,-,-,7.0,170.0,P035383
크랜베리&블랙커런트 임산부용 영양바,30.0,110.0,1.6,22,1.8,4.4,13.6,P035464
볼로네이즈 오브맘 6-12M 2(BOLOGNESE OF MOM 2),100.0,70.0,2.1,8.5,2.9,3.7,30.0,P035538
스페셜 K 오리지널,40.0,152.0,6,31.6,0.2,8.0,160.0,P035541
슬림플러스,40.0,150.0,-,-,-,9.0,200.0,P035897
"에어드베어 유기농 퓨레 망고, 귀리, 요거트",100.0,75.0,1.4,12,2.2,9.1,10.0,P060137
로렌조 오일,100.0,807.0,0,0,89.7,0.0,0.0,P061214
소프티아 지,100.0,360.0,1,89,0,52.0,1340.0,P061747
소프티아지,100.0,347.0,0.7,86,0,0.0,1630.0,P061748
마이퍼스트 배,120.0,59.0,0.2,13.8,0.2,13.2,4.0,P062282
마이퍼스트 배,120.0,59.0,0.1,14,0.2,13.0,4.0,P062283
마이퍼스트 복숭아,120.0,61.0,0.5,12.5,0.1,11.0,0.0,P062284
마이퍼스트 사과,120.0,54.0,0.1,13.8,0.2,13.2,2.0,P062285
배+살구,120.0,69.0,0.4,16,0.3,14.0,4.0,P062286
사과+바나나+복숭아,120.0,82.0,0,20,0.4,17.0,3.0,P062287
사과+배+시나몬,120.0,57.0,0.1,13.8,0.2,13.2,3.0,P062288
MCT 파우더(250g),100.0,740.0,0,24,72,0.0,11.0,P062806
뉴케어 토로미 퍼펙트 (200g),100.0,280.0,0.3,88,0,0.0,1860.0,P062807
토로미 업 퍼펙트 (500g),100.0,280.0,0.3,88,0,0.0,1860.0,P062808
MCT 오일,100.0,891.0,0,0,99,0.0,0.0,P062981
네오케이트,100.0,475.0,13,54,23,4.9,120.0,P063014
듀오칼,100.0,492.0,0,72.7,22.3,6.5,20.0,P063015
엔케이에이치 아나믹스 인펀트,5.0,457.0,13.1,49.5,23,7.4,191.0,P063016
엘리멘탈 028 엑스트라,100.0,427.0,12.5,55,17.5,23.3,305.0,P063017
티와이알 아나믹스 인펀트,100.0,457.0,13.1,49.5,23,7.4,191.0,P063018
피케이에이드4,100.0,334.0,79,4.5,0,0.4,0.0,P063019
토로미 컨트롤 에프에스와이-70,100.0,267.0,1,86,0,45.0,1200.0,P063245
어스베스트 유기농 파우치 2차 이유식 고구마와 사과,113.0,80.0,1,18,0.5,13.0,0.0,P063410
어스베스트 유기농 파우치 2차 이유식 바나나 블루베리,113.0,80.0,1,17,0,15.0,10.0,P063411
어스베스트 유기농 파우치 2차 이유식 서양호박과 배,113.0,80.0,1,19,0,11.0,0.0,P063412
어스베스트 유기농 파우치 3차 이유식 호박 크랜베리 사과,120.0,70.0,1,17,1,13.0,0.0,P063413
토로미 파워 스마일,100.0,280.0,0.9,89,0,0.0,2100.0,P063618
베지밀건강맘,190.0,110.0,6,9.5,5.5,5.0,90.0,P020004
임페리얼 드림 XO-4 T,34.0,66.0,2.5,7.8,2.8,5.9,27.0,P020005
햇반저단백밥,180.0,280.0,0.4,67,1.1,0.0,10.0,P020008
뉴케어 화이바,100.0,100.0,4,14,3.5,0.0,90.0,P021116
완전균형영양식뉴케어 구수한맛,100.0,100.0,3.5,15,3,3.5,65.0,P021117
뉴케어 당뇨식,100.0,100.0,4.5,11,4.8,2.0,80.0,P021118
뉴케어 300TF,100.0,100.0,4,14.25,3,0.0,90.0,P021119
메디푸드경관식엘디,100.0,200.0,8,30,6,0.7,180.0,P021120
메디푸드 RTH(알티에이치)당뇨식 글루트롤500,500.0,500.0,22.5,59,23.5,7.5,450.0,P021121
그린비아 장솔루션,200.0,200.0,9,28,7,0.7,140.0,P021122
그린비아 고단백 솔루션,200.0,200.0,13,26,4.5,5.0,200.0,P021123
뉴케어 하이프로틴,100.0,100.0,6.5,12,3,1.6,105.0,P021125
그린비아 티에프,200.0,200.0,8,34,4.5,3.0,120.0,P021126
그린비아 마일드케어,200.0,200.0,8,30,6,6.0,160.0,P021127
그린비아 디엠,200.0,200.0,10,25,8,2.0,160.0,P021128
그린비아 화이바,200.0,200.0,9,31,6,2.0,140.0,P021129
케어웰 어드밴스,200.0,200.0,8,30,6,0.7,180.0,P021130
완전균형영양식 뉴케어 고소한 검은깨,100.0,100.0,3.5,15.5,3,3.4,55.0,P021131
케어웰 1.5 플러스,200.0,300.0,13,40,10,2.0,210.0,P021133
메디웰RTH(알티에이치),300.0,300.0,13.6,44,9,3.0,225.0,P021134
고농축영양식 메디푸드1.5,200.0,300.0,12,45.5,9,0.0,215.0,P021135
뉴케어 당플랜,200.0,200.0,9,23.5,9,0.0,220.0,P021136
뉴케어 칼로리1.5,100.0,150.0,6.5,20.5,5.5,1.5,120.0,P021137
케어웰 구수한맛,200.0,200.0,8,29,6,6.0,140.0,P021138
그린비아 플러스케어,200.0,200.0,7,29,6,5.0,75.0,P021139
뉴케어 미니 구수한맛,150.0,110.0,4.5,12.5,4.8,5.0,110.0,P021140
케어웰 디엠,200.0,200.0,9,20,10,1.5,180.0,P021142
케어웰 스탠다드 티에프,200.0,200.0,8,29,6,0.7,180.0,P021143
그린비아 1.5,200.0,300.0,13,41,9,0.7,180.0,P021144
메디푸드 이엔200,200.0,200.0,8,30,6,0.7,140.0,P021145
그린비아 키즈,200.0,200.0,6,21,10,8.0,90.0,P021146
그린비아 알디플러스,200.0,400.0,15,51,16,1.0,150.0,P021147
메디푸드 당뇨식 글루트롤,200.0,200.0,9,23.5,9.5,3.0,180.0,P021150
뉴케어 케이디플러스,100.0,200.0,7.5,26.5,7.5,3.0,70.0,P021151
메디푸드 RTH(알티에이치)경관식 엘디 400,400.0,400.0,16,60,12,2.0,360.0,P021152
뉴케어 오메가,100.0,100.0,5,13.75,3,3.5,90.0,P021154
그린비아 장솔루션 알티에이치,300.0,300.0,13,42,10,0.7,210.0,P021155
케어웰 당뇨식,200.0,200.0,9,20.5,10,1.5,180.0,P021159
그린비아 알티에이치,300.0,300.0,11,47,7,1.5,160.0,P021160
그린비아 알디,200.0,400.0,8,58,16,1.0,130.0,P021161
미니웰 OS(오에스),150.0,200.0,9,29,6,4.5,180.0,P021162
그린비아 당뇨솔루션 알티에이치,400.0,400.0,20,43,18,0.7,280.0,P021164
뉴케어 딸기맛,100.0,100.0,3.5,15,3,3.5,65.0,P021165
그린비아 당뇨솔루션,200.0,200.0,10,22,9,1.0,140.0,P021166
그린비아 마일드케어 검은참깨,200.0,200.0,8,29,7,7.0,130.0,P021167
이로밀 구수한맛,200.0,200.0,8,30,6,0.0,120.0,P021168
메디푸드스탠다드,49.0,200.0,8,30,6,2.0,160.0,P021169
그린비아 플러스케어 화이바,200.0,200.0,9,2,7,1.0,140.0,P021170
미니웰,150.0,200.0,9,29,6,3.0,180.0,P021171
메디웰RTH DM(알티에이치 디엠),500.0,500.0,25,55,22.5,5.0,225.0,P021172
그린비아 플러스케어 당뇨식,200.0,200.0,10,22.5,9,0.7,190.0,P021173
이로밀 고단백,200.0,300.0,13,38,11,0.0,120.0,P021174
그린비아 이뮨포르테 알티에이치,400.0,400.0,24,46,14,0.7,330.0,P021176
완전균형영양식 뉴케어 바나나맛,150.0,150.0,5.3,22.5,4.5,5.3,97.5,P021177
완전균형영양식뉴케어커피맛,100.0,100.0,3.5,15,3,4.5,65.0,P021178
이로밀 당뇨식,200.0,200.0,12,18,9,0.0,120.0,P021179
이로밀 검은참깨,200.0,200.0,8,30,6,0.0,120.0,P021180
무스웰 밸런스,100.0,130.0,6,24,2,12.0,65.0,P021182
뉴케어 INTENSIVE AF(ADD FIBER),100.0,100.0,6,12,3.5,0.0,90.0,P021183
뉴케어 단호박맛,100.0,100.0,4,15,3,3.0,90.0,P021184
뉴케어 케이디,100.0,200.0,3,32,7,2.0,60.0,P021185
미니웰 커피맛,150.0,200.0,9,29,6,2.0,180.0,P021186
메이푸드 이엔 당뇨식,200.0,200.0,9,21.6,9.6,0.7,140.0,P021187
케어웰 검은참깨,200.0,200.0,7,30,6,7.0,110.0,P021188
그린비아 키즈 초코맛,150.0,150.0,4.5,16,7.5,6.0,50.0,P021189
메디푸드 이엔 화이바,200.0,200.0,8,1,6,0.7,140.0,P021190
뉴케어 INTENSIVE 300,100.0,100.0,6,12.25,3,0.0,90.0,P021191
케어웰 인텐시브 에프엘 RTH(알티에이치),500.0,500.0,25,55,20,2.5,450.0,P021192
메디에프 스마일,150.0,150.0,6,22,5,2.0,120.0,P021193
메디웰RTH Fiberless(알티에이치 화이버리스),500.0,500.0,23,68,15,5.0,425.0,P021194
메디푸드 고단백 VHP(브이에이치피),200.0,200.0,13,24,7,0.0,160.0,P021195
메디푸드 이엔 소프트,200.0,200.0,13,24,7,0.0,160.0,P021196
케어웰 프로(CareWell PRO),10.0,35.0,9,0,0,0.0,54.0,P021197
그린비아 이뮨포르테,200.0,200.0,12,23,6.6,0.7,160.0,P021198
뉴케어프로틴퍼펙트,11.0,40.0,9,0,0,0.0,90.0,P021200
케어웰 인사이드,200.0,200.0,9,26.5,7,0.7,180.0,P021201
하이칼,5.0,20.0,0,5,0,0.0,0.0,P021204
그린비아 연하솔루션,3.0,8.0,0,2,0,0.0,25.0,P021205
비스코업,3.0,8.0,0,3,0,0.0,69.0,P021206
모노웰,87.0,400.0,16,50,15,9.4,260.0,P021207
연하케어,3.0,10.0,0,3,0,0.0,40.0,P021208
스마트푸드디엠,20.0,90.0,6,9,3,0.7,5.0,P021209
뉴케어 하이비스코(NUCARE HIH VISCO),2.0,5.2,0,1.8,0,0.0,18.0,P021210
메디푸드 토로미 파워 스마일,2.0,6.8,0,2.2,0,0.0,52.0,P021211
케어웰믹스겔,2.0,6.0,0,2,0,0.0,22.0,P021212
당박사110,4.0,45.0,0.87,2.27,3.6,0.18,17.5,P021213
디알프리,4.0,13.95,0.51,3.49,0.05,0.43,1.85,P021214
멀티칼,5.0,25.0,0,3.7,1.2,0.0,0.0,P021215
비스코업에스,100.0,250.0,1.4,88,0,0.0,1760.0,P021216
칼로리바란스,76.0,325.0,6,53,10,17.0,290.0,P022593
스페셜K 고구마 & 바나나,40.0,156.0,6,29,2.4,9.6,160.0,P022595
아이사린쉐이크 초콜릿향(IsaLean Shake Chocolate flavor),60.0,230.0,24,21,4.5,7.0,190.0,P022597
칼로리바란스과일,76.0,325.0,6,53,10,17.0,310.0,P022599
애터미 슬림바디 쉐이크 그레인,55.0,201.0,18,32,1,9.0,277.0,P022601
아이사린쉐이크 바닐라향(IsaLean Shake Vanilla flavor),60.0,230.0,24,21,4.5,7.0,190.0,P022603
아이사린쉐이크 딸기향(IsaLean Shake Strawberry flavor),60.0,230.0,24,21,4.5,7.0,190.0,P022605
린 컴플리트,30.0,100.0,12,8,1.1,0.7,140.0,P022607
스페셜K 뉴트리핏 살구&크랜베리,40.0,147.0,5.5,30,1.2,10.0,200.0,P022609
쉐이크 녹차맛,33.0,107.0,15,13,0,7.0,170.0,P022611
다밀 오곡맛,50.0,190.0,12,33,1,0.7,130.0,P022613
쉐이크 바닐라맛,33.0,115.0,15,13,1,7.0,190.0,P022615
52뉴트리션 다이어트베이스 초코맛,25.0,82.0,0,7,0.66,3.9,139.0,P022617
바이오화이버,30.0,95.0,6,17,1.4,9.0,170.0,P022619
애터미 슬림바디 쉐이크 그린티,55.0,202.0,17,32,1.2,9.0,272.0,P022621
다밀 고구마맛,55.0,230.0,6.5,38,2,1.0,105.0,P022623
밸런스 쉐이크 홀그레인,40.0,145.0,12,23,1.7,2.0,105.0,P022625
라이트앤이지밀,30.0,115.0,7,20,0.7,8.0,75.0,P022627
투에니포 뉴트리 다이어트 쉐이크 초코맛,25.0,90.0,8,14,0,3.0,180.0,P022629
닥터스에스 플러스,45.0,150.0,9,27,0,0.0,0.18,P022631
트루플레니쉬™ 바닐라향(TRUPLENISH™ VANILLA FLAVOR),45.0,165.0,20,16,2.5,9.0,355.0,P022633
애터미 밸런스라이프,25.0,95.0,11,11,1,4.0,186.0,P022635
다밀 허니바닐라맛,50.0,195.0,11,34,1.7,6.0,100.0,P022637
HOPE 발효효소 밸런스밀 블랙,30.0,120.0,12,14,1.8,9.0,160.0,P022639
HOPE 발효효소 밸런스밀 화이트,30.0,120.0,11,16,1.5,10.0,150.0,P022641
쉐이크 초콜릿맛,33.0,125.0,15,13,1.5,8.0,200.0,P022643
트루플레니쉬™ 초콜렛향(TRUPLENISH™ CHOCOLATE FLAVOR),45.0,160.0,20,16,2.6,6.0,345.0,P022645
뉴트리 디-데이 다이어트 리얼초코 쉐이크,25.0,85.0,8,13,1.3,4.0,105.0,P022647
맛있는 다이어트칩 소이,30.0,115.0,6,20,2.6,0.8,210.0,P022649
더슬림 다이어트도시락 곤약닭가슴살밥과 두부스테이크,236.0,334.0,16,50,8,7.0,291.0,P022651
더슬림 다이어트도시락 퀴노아곤약밥과 닭가슴살스테이크,216.0,310.0,17,53,3,9.0,262.0,P022653
알쓰리 밸런스 바디 쉐이크,30.0,113.0,11,15,1,4.0,5.0,P022655
그린스무디다이어트,45.0,165.0,15,24,2.4,4.0,65.0,P022657
더슬림 다이어트도시락 곤약고구마밥과 바싹불고기,226.0,380.0,16,53,11,12.0,279.0,P022659
베네비타 쉐이크-잇!(Benevita shake-it !),30.0,130.0,9,23,0.7,10.0,85.0,P022661
라이트업 오리지날,40.0,155.0,6,31,0.6,8.0,160.0,P022663
골든 귀리 슬림 다이어트,40.0,168.0,7.3,27.7,3.1,3.3,21.6,P022665
더슬림 다이어트도시락 탄두리닭가슴살밥과 참치오믈렛,231.0,352.0,14,52,10,6.0,312.0,P022667
슬림플러스,40.0,10.0,5.5,30,0.6,9.0,200.0,P022669
HOPE 발효효소 밸런스밀 브라운,30.0,120.0,11,15,1.8,10.0,160.0,P022671
데일리단백질쉐이크 카페라떼,25.0,90.0,11,9,0,7.0,130.0,P022673
뉴트리 디-데이 다이어트 호두아몬드쉐이크,25.0,90.0,8,13,1.5,8.0,90.0,P022675
더슬림 다이어트도시락 새우볶음밥과 토마토비프,241.0,350.0,16,48,11,4.0,729.0,P022677
투에니포 뉴트리 다이어트 쉐이크 쿠키앤크림맛,25.0,90.0,8,15,0,4.0,180.0,P022679
리뉴슬림 블루,40.0,170.0,10,24,3,2.0,150.0,P022681
데일리단백질쉐이크 초코,25.0,90.0,11,9,0,7.0,130.0,P022683
더슬림 다이어트도시락  다섯가지나물밥과 낙지볶음,229.0,307.0,15,44,8,5.0,655.0,P022685
더슬림 다이어트도시락 연근우엉밥과 치즈함박스테이크,236.0,387.0,15,53,13,8.0,591.0,P022687
마이바디다이어트 프로틴쉐이크(쿠키앤크림맛),30.0,30.0,11,15,1.3,4.0,140.0,P022689
굿발란스 시리얼바,30.0,125.0,5.5,17,3,5.5,67.0,P022691
뉴트리 디-데이 다이어트 쿠키앤크림 쉐이크,25.0,85.0,8,0,0,5.0,14.0,P022693
뉴트리 디-데이 다이어트 카페라떼쉐이크,25.0,90.0,8,15,0,7.0,95.0,P022695
투에니포 뉴트리 다이어트 쉐이크 곡물맛,25.0,90.0,8,15,0,4.0,170.0,P022697
액티브디에스 프로,25.0,90.0,11,12,0.05,3.0,90.0,P022699
뉴트리 디-데이 다이어트 쿠키앤크림 쉐이크,25.0,90.0,10,11,1.1,6.0,140.0,P022701
듀썸헬씨 썸바디 엘에스(DOUXSUM HEALTHY SUMBODY LS),30.0,115.0,6,20,13,0.0,0.0,P022703
뉴트리 디-데이 다이어트 스트로베리요거트쉐이크,25.0,90.0,8,13,1.2,9.0,55.0,P022705
플래티넘귀리우유다이어트쉐이크,30.0,110.0,10,17,1.6,9.0,105.0,P022707
예감한끼,26.0,97.0,7,16,0.6,5.0,80.0,P022709
52뉴트리션 다이어트 베이스 커피맛,25.0,82.0,12,6.9,0.69,3.5,139.0,P022711
라인 365,37.0,125.0,13,19,1.6,4.0,110.0,P022713
마이바디다이어트 프로틴쉐이크(밀크카카오맛),30.0,110.0,12,14,0.8,3.0,110.0,P022715
마이바디다이어트 프로틴쉐이크(녹차라떼맛),30.0,110.0,12,14,0.9,4.0,130.0,P022717
뉴트리 디-데이 다이어트 멜론스윗 쉐이크,25.0,85.0,7,15,0,7.0,115.0,P022719
글램쉐이크자색고구마라떼맛,30.0,115.0,8,20,0.4,9.0,110.0,P022721
뉴트리 디-데이 다이어트 녹차라떼 쉐이크,25.0,85.0,8,14,0.5,5.0,75.0,P022723
뉴트리 디-데이 다이어트 체리앤베리베리쉐이크,25.0,90.0,8,13,1,8.0,75.0,P022725
마이바디다이어트프로틴쉐이크(딸기앤쿠키맛),30.0,110.0,11,15,0.9,3.0,130.0,P022727
맛있는 다이어트 쿠키 카카오,40.0,200.0,6,19,14,6.0,180.0,P022729
슬림톡 다이어트 오트,30.0,85.0,6.3,19,0,1.2,45.0,P022731
슬림톡 다이어트 깔라만시,30.0,95.0,5.5,21,0,5.0,50.0,P022733
지중해 다이어트에 빠지다,25.0,93.0,11,11,0.5,0.0,123.0,P022735
맛있는 다이어트 쿠키,40.0,185.0,6,22,9,6.0,115.0,P022737
바쁜언니 쉐이크잇(SHAKE EAT),54.0,210.0,15,34,1,15.0,190.0,P022739
헬스빌에너자임 다이어트 쉐이크믹스,25.0,86.0,11,0,0,7.0,130.0,P022741
마이바디다이어트 프로틴쉐이크 고구마맛,30.0,110.0,11.5,14.8,0.8,4.0,120.0,P022743
데일리단백질쉐이크 바나나,25.0,90.0,11,9,0,7.0,130.0,P022745
먹고 빼고,30.0,115.0,7,7,4,0.0,20.0,P022747
