Unnamed: 0,식품명,1인분칼로리(kcal),탄수화물(g),단백질(g),지질(g),콜레스트롤(g),식이섬유(g),나트륨(g),등록일
253,무말랭이장아찌,19.0,3.5,0.7,0.6,0.0,0.4,228.0,2012-01-04
254,무생채,55.0,9.1,1.6,2.1,0.0,0.8,277.0,
255,무장아찌(무초절임),13.2,1.7,0.3,0.9,0.0,0.2,198.0,2012-01-17
256,무짠지,3.0,0.8,0.1,0.0,0.0,0.2,256.0,2012-01-17
257,무청,11.0,2.7,1.2,0.1,0.0,0.6,22.0,2012-01-04
258,문어,7.0,0.0,1.6,0.1,9.0,0.0,21.0,2012-01-04
259,물냉면,583.0,89.0,33.1,10.3,198.5,2.2,4067.0,2012-01-04
260,물엿,59.0,15.1,0.0,0.0,0.0,0.0,0.0,2012-01-17
261,미꾸라지,58.0,0.1,9.7,1.7,106.2,0.0,51.0,2012-01-04
262,미나리나물,18.5,1.9,0.7,1.3,0.0,0.4,114.0,2012-01-04
263,미나리무침,21.0,2.7,0.7,1.2,0.0,0.4,175.0,2012-01-04
264,미더덕,8.0,0.4,1.0,0.2,3.2,0.0,43.0,2012-01-06
265,미숫가루,85.0,14.9,3.1,1.1,0.0,0.3,6.0,2012-01-17
266,미역(말린것),6.0,2.2,1.2,0.2,0.0,0.1,366.0,2012-01-04
267,미역(생것),3.0,1.5,0.6,0.1,0.0,0.2,0.0,2012-01-04
268,미역국,20.4,2.4,2.1,1.2,1.8,0.1,780.0,2012-01-04
269,미역줄기볶음,12.0,1.5,0.6,0.9,0.0,0.2,271.0,2012-01-17
270,미역초무침,23.1,4.4,0.8,1.0,0.0,0.3,256.0,2012-01-17
271,밀가루(중력분),170.0,33.3,5.2,0.5,0.0,0.1,9.0,
272,바나나,108.0,28.5,1.6,0.3,0.0,0.3,3.0,
273,바지락조개(모시조개),24.0,1.0,4.0,0.3,8.8,0.0,130.0,2012-01-06
274,밤,16.0,3.7,0.3,0.1,0.0,0.1,0.0,
275,배,59.0,16.4,0.5,0.2,0.0,0.9,5.0,
276,배추,6.0,1.7,0.5,0.0,0.0,0.4,18.0,
277,배추겉절이,33.4,3.5,1.1,2.3,0.0,0.7,502.0,2012-01-04
278,배추나물,13.0,1.6,0.6,0.8,0.0,0.3,171.0,2012-01-04
279,백미,289.0,64.0,5.0,0.3,0.0,0.2,6.0,
280,백미죽,194.6,43.0,3.2,0.2,0.0,0.2,4.0,
281,백설기,222.0,49.3,3.3,0.8,0.0,0.1,222.0,
282,백합,19.0,0.9,2.9,0.3,11.0,0.0,0.0,2012-01-17
283,뱅어포,36.0,0.1,6.0,1.1,83.4,0.0,68.0,2012-01-17
284,버섯볶음,26.1,2.5,0.9,1.8,0.1,0.3,164.0,2012-01-04
285,버터,37.0,0.0,0.0,4.2,10.0,0.0,36.0,2012-01-04
286,보리,34.0,7.7,0.9,0.1,0.0,0.1,0.0,
287,보리밥,380.6,84.2,6.8,0.5,0.0,0.3,7.0,2012-01-04
288,보신탕,154.0,7.5,11.0,10.0,19.8,1.4,671.0,
289,보쌈,202.0,12.4,28.4,5.3,74.6,1.8,1878.0,
290,복매운탕,93.0,6.3,15.9,1.5,43.2,1.4,644.0,2012-01-17
291,복숭아(통조림),88.0,24.0,0.3,0.1,0.0,0.5,8.0,2012-01-04
292,복어,80.0,0.1,16.9,0.9,56.7,0.0,137.0,2012-01-04
293,복지리,123.0,6.2,22.1,1.9,64.6,0.7,411.0,
294,볶음밥,461.5,71.6,12.0,12.7,129.7,0.5,587.0,2012-01-04
295,볼락,46.0,0.0,8.0,1.3,33.8,0.0,34.0,2012-01-04
296,부대찌개,171.3,13.3,9.1,9.8,16.9,0.9,778.0,2012-01-04
297,부추,6.0,1.2,0.9,0.2,0.0,0.3,2.0,2012-01-04
298,부추무침,24.3,3.3,1.7,1.1,0.0,0.7,390.0,2012-01-04
299,부추전,158.0,21.8,4.6,5.3,24.8,0.4,317.0,2012-01-04
300,부추전(가정식),263.0,36.4,7.7,8.9,41.4,0.6,528.0,
301,부추전(외식),44.0,6.1,1.3,1.5,6.9,0.1,88.0,2012-01-04
302,북어국,112.4,2.8,16.3,3.8,119.9,0.2,861.0,
303,북어조림,77.0,3.0,13.9,0.7,44.5,0.0,341.0,2012-01-17
304,북어찜,120.0,5.8,18.7,2.4,57.7,0.4,572.0,2012-01-04
305,분말조미료(쇠고기),2.0,0.3,0.1,0.0,0.0,0.0,262.0,2012-01-17
306,불고기,197.5,6.9,17.4,10.9,53.0,0.2,700.0,
307,불고기(가정식),132.0,4.6,11.6,7.3,35.3,0.2,466.0,2012-01-04
308,불고기(외식),230.4,8.1,20.3,12.8,61.8,0.3,816.0,2012-01-04
309,붉은고추,1.0,0.2,0.1,0.0,0.0,0.1,0.0,2012-01-04
310,브로콜리,8.0,1.5,1.5,0.1,0.0,0.4,3.0,
311,비름,12.0,2.0,1.3,0.3,0.0,0.3,2.0,2012-01-17
312,비름나물,29.0,2.9,1.7,1.8,0.0,0.4,153.0,2012-01-17
313,비빔국수,599.0,117.2,17.0,5.8,62.0,1.5,2933.0,2012-01-04
314,비빔냉면,552.0,96.1,25.6,7.7,117.3,0.9,1354.0,2012-01-04
315,비빔밥,588.9,95.1,20.5,14.1,214.7,1.8,883.0,
316,비스킷(소프트),131.0,15.7,1.4,6.9,5.5,0.0,55.0,2012-01-04
317,비스킷(하드),86.0,15.6,1.5,2.0,4.4,0.0,64.0,2012-01-04
318,빵가루,28.0,5.8,1.1,0.3,0.0,0.0,43.0,2012-01-17
319,사과,69.0,18.2,0.3,0.6,0.0,0.8,11.0,
320,사우전드아일랜드드레싱,72.0,1.7,0.1,7.3,39.0,0.1,114.0,2012-01-17
321,사이다,100.0,25.3,0.0,0.0,0.0,0.0,13.0,2012-01-04
322,사탕,24.0,5.9,0.0,0.0,0.0,0.0,2.0,
323,삼겹살구이,610.4,1.5,31.7,52.4,118.0,0.0,843.0,2012-01-04
324,삼계탕(닭백숙),395.0,32.0,30.4,15.4,134.5,0.6,857.0,2012-01-04
325,삼치,55.0,0.0,7.6,2.4,28.8,0.0,23.0,2012-01-17
326,삼치구이,77.0,0.0,8.6,4.4,32.6,0.0,282.0,2012-01-04
327,삼치조림,72.5,4.3,8.5,2.6,27.7,0.6,391.0,2012-01-12
328,상추,2.0,0.4,0.3,0.1,0.0,0.2,2.0,2012-01-04
329,상추겉절이,34.0,2.8,1.3,2.5,0.0,0.6,490.0,2012-01-17
330,새우(중하),33.0,0.0,7.0,0.3,45.5,0.0,95.0,2012-01-04
331,"새우(중하,자건품)",15.0,0.1,2.7,0.3,19.1,0.0,0.0,2012-01-04
332,새우볶음,9.1,0.4,1.4,0.2,9.8,0.0,39.0,2012-01-04
333,새우젓,2.0,0.1,0.4,0.0,6.9,0.0,325.0,2012-01-04
334,새우젓무침,2.4,0.1,0.4,0.1,3.1,0.0,311.0,
335,샌드위치,358.0,35.0,12.8,18.4,191.2,0.3,439.0,
336,생강,1.0,0.1,0.0,0.0,0.0,0.0,0.0,2012-01-06
337,생선가스,116.0,6.2,9.7,5.7,68.3,0.0,301.0,2012-01-04
338,생선전,66.1,3.2,5.2,3.4,52.8,0.0,229.0,2012-01-04
339,생선초밥,454.2,74.8,25.4,4.2,119.7,0.4,341.0,2012-01-04
340,샤베트,102.0,23.0,0.7,0.8,4.8,0.0,10.0,2012-01-04
341,선짓국,70.0,4.0,9.9,1.9,28.0,0.6,617.0,2012-01-17
342,설렁탕,171.1,18.9,13.0,4.8,37.5,0.4,1653.0,2012-01-04
343,설탕(백설탕),46.0,12.0,0.0,0.0,0.0,0.0,0.0,
344,설탕(황설탕),46.0,11.9,0.0,0.0,0.0,0.0,1.0,2012-01-04
345,셀러리,2.0,0.5,0.2,0.0,0.0,0.1,14.0,2012-01-04
346,소금,0.0,0.0,0.0,0.0,0.0,0.0,336.0,2012-01-04
347,소라,19.0,0.5,3.6,0.2,21.2,0.0,92.0,2012-01-04
348,소면(건면),490.0,104.4,11.7,0.3,0.0,0.3,1945.0,
349,소주,63.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-04
350,소주,282.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-04
351,송편(깨),95.0,20.5,1.6,0.6,0.0,0.1,97.0,2012-01-04
352,"쇠고기,수입우(갈비)",263.0,0.9,18.5,19.5,55.0,0.0,41.0,2012-01-04
353,"쇠고기,수입우(등심)",101.0,0.4,7.9,7.2,27.0,0.0,20.0,2012-01-04
354,"쇠고기,수입우(사태)",42.0,0.3,6.2,1.6,18.6,0.0,18.0,2012-01-16
355,"쇠고기,수입우(양지)",53.0,0.4,7.4,2.3,18.6,0.0,17.0,2012-01-16
356,"쇠고기,수입우(우둔)",34.0,0.3,5.5,1.1,13.8,0.0,11.0,2012-01-17
357,"쇠고기,한우",48.0,0.2,4.8,2.8,0.0,0.0,65.0,2012-01-04
358,"쇠고기,한우(등심)",86.0,0.5,9.0,5.1,28.8,0.0,199.0,
359,"쇠고기,한우(사태)",46.0,0.3,7.1,1.6,17.2,0.0,26.0,
360,"쇠고기,한우(양지)",58.0,0.4,7.5,2.8,17.9,0.0,126.0,
361,쇠고기국,66.0,3.2,7.7,2.7,20.2,0.4,546.0,
362,쇠고기미역국,63.0,3.7,7.3,3.4,16.3,0.2,1056.0,2012-01-04
363,쇠고기부산물(간),39.0,0.4,5.7,1.4,73.8,0.0,20.0,2012-01-17
364,쇠고기부산물(곱창),56.0,0.2,3.6,4.5,69.6,0.0,18.0,2012-01-17
365,쇠고기부산물(선지),20.0,1.0,4.0,0.0,13.6,0.0,239.0,2012-01-17
366,쇠고기산적,104.0,9.1,6.5,4.6,31.6,0.3,242.0,2012-01-04
367,쇠고기전골,104.0,6.1,8.7,5.5,23.3,0.8,367.0,2012-01-04
368,수박,31.0,6.9,1.0,0.5,0.0,0.3,1.0,2012-01-06
369,수수,25.0,5.2,0.7,0.2,0.0,0.0,0.0,2012-01-04
370,수수밥,465.8,103.5,8.6,1.0,0.0,0.8,9.0,2012-01-17
371,수육(쇠고기),127.1,3.2,18.8,4.2,60.4,0.1,66.0,2012-01-04
372,수제비,453.2,14.3,2.8,0.2,94.4,0.0,0.0,2012-01-04
373,숙주나물,4.0,0.6,0.8,0.0,0.0,0.1,1.0,
374,숙주나물,15.1,1.1,1.1,1.0,0.0,0.2,260.0,2012-01-04
375,순대,64.1,1.1,0.8,3.1,0.0,0.6,848.0,
376,순대국,127.0,11.3,6.7,5.1,44.3,0.9,272.0,2012-01-04
377,순두부,40.0,0.9,4.0,2.7,0.0,0.1,5.0,
378,순두부찌개,80.3,4.3,7.7,4.3,75.5,0.6,374.0,2012-01-04
379,스낵과자(밀가루),145.0,20.6,2.2,5.9,0.0,0.1,213.0,2012-01-04
380,스낵과자(옥수수),237.0,29.4,2.3,12.2,0.0,0.0,212.0,2012-01-04
381,스파게티,514.4,85.9,16.5,9.9,11.3,0.5,419.0,2012-01-04
382,스파게티(건면),309.0,63.4,9.5,0.2,0.0,0.2,16.0,2012-01-04
383,스프,152.2,22.2,3.4,6.2,14.2,1.0,61.0,2012-01-04
384,시금치,14.0,2.7,1.4,0.2,0.0,0.4,24.0,
385,시금치나물,26.0,3.1,1.7,1.3,0.0,0.4,154.0,2012-01-04
386,시금치된장국,35.1,5.1,3.4,0.8,1.4,0.6,621.0,
387,시래기된장국,38.0,5.4,3.7,0.8,1.9,0.8,784.0,2012-01-17
388,시리얼(콘푸레이크),93.0,21.7,1.7,0.2,0.0,0.6,248.0,
389,식빵,156.0,28.1,4.6,2.9,8.3,0.2,36.0,
390,식초,1.0,0.2,0.0,0.0,0.0,0.0,0.0,
391,식혜,89.0,26.6,0.5,0.0,0.0,0.0,10.0,
392,쌀과자,183.0,31.3,1.3,6.4,0.0,1.6,90.0,2012-01-17
393,쌀밥,405.0,89.5,6.6,0.4,0.0,0.3,8.0,
394,쌈장,35.0,5.3,1.8,0.8,0.0,0.3,592.0,2012-01-04
395,쌍화차(분말),74.0,17.5,0.5,0.2,0.0,0.0,27.0,2012-01-17
396,쑥,31.0,9.0,2.4,0.0,0.0,2.1,5.0,2012-01-06
397,쑥갓,1.0,0.2,0.2,0.0,0.0,0.1,2.0,2012-01-04
398,쑥된장국,52.5,11.7,4.5,0.5,1.7,2.5,513.0,2012-01-17
399,씀바귀,12.0,2.8,0.9,0.1,0.0,0.4,11.0,2012-01-04
400,씀바귀나물,43.0,6.1,1.6,2.2,0.0,0.6,376.0,2012-01-17
401,아구찜,89.0,5.6,12.5,2.5,39.3,1.1,350.0,2012-01-04
402,아귀,48.0,0.2,10.1,0.4,38.5,0.0,91.0,2012-01-04
403,아몬드,48.0,1.6,1.5,4.3,0.0,0.0,0.0,
404,아스파라거스,0.0,0.1,0.1,0.0,0.0,0.0,0.0,2012-01-04
405,아욱,10.0,1.3,1.8,0.3,0.0,0.5,18.0,2012-01-17
406,아욱된장국,39.2,4.2,5.2,1.0,9.7,0.8,663.0,2012-01-17
407,아이스크림,216.0,27.8,4.7,9.6,38.4,0.0,132.0,
408,"아이스크림(소프트,바닐라)",178.0,17.8,3.3,10.4,37.6,0.0,49.0,2012-01-04
409,아이스크림바(초콜렛),173.0,22.6,3.0,8.8,37.6,0.0,61.0,2012-01-04
410,아이스크림콘(바닐라),167.0,22.0,2.7,7.7,24.4,0.0,84.0,2012-01-04
411,약과,255.0,43.0,2.3,8.0,42.6,0.5,20.0,2012-01-04
412,양념꽃게장,39.2,3.9,5.3,0.5,23.7,0.5,709.0,2012-01-04
413,양배추,6.0,1.6,0.2,0.0,0.0,0.2,2.0,
414,양배추샐러드,56.0,2.9,0.3,4.8,13.6,0.2,52.0,
415,양상추,3.0,0.8,0.3,0.0,0.0,0.2,2.0,2012-01-04
416,양송이버섯,2.0,0.5,0.4,0.0,0.0,0.1,1.0,
417,양주(위스키),71.0,0.0,0.0,0.0,0.0,0.0,1.0,2012-01-04
418,양파,3.0,0.8,0.1,0.0,0.1,0.0,0.0,2012-01-04
419,어묵,35.0,4.4,3.0,0.6,4.1,0.0,187.0,
420,어묵국,53.0,7.0,4.6,0.9,10.5,0.2,368.0,
421,어묵볶음,88.7,10.1,5.5,3.1,12.3,0.1,526.0,
422,어패류액젓(멸치액젓),1.0,0.0,0.2,0.0,4.0,0.0,171.0,
423,어패류액젓(어란젓),12.0,0.2,1.5,0.5,17.5,0.0,0.0,
424,어패류액젓(창란젓),12.0,0.8,1.3,0.3,16.5,0.0,1.0,
425,연근,17.0,4.1,0.5,0.0,0.0,0.2,9.0,2012-01-04
426,연근조림,24.0,5.2,0.8,0.3,0.0,0.4,182.0,2012-01-04
427,연두부,45.0,0.9,5.7,2.6,0.0,0.1,6.0,2012-01-04
428,연두부찌개,88.2,2.8,9.5,5.0,77.8,0.2,128.0,2012-01-17
429,연어(훈제),34.0,0.1,4.6,1.5,9.0,0.0,159.0,2012-01-04
430,열무,6.0,1.3,1.1,0.0,0.0,0.4,16.0,2012-01-06
431,엿,127.0,31.4,0.7,0.0,0.0,0.0,3.0,2012-01-04
432,오곡밥,334.1,72.5,7.0,0.8,0.0,0.7,222.0,2012-01-04
433,오렌지,86.0,22.4,1.8,0.2,0.0,0.6,2.0,2012-01-04
434,오렌지주스,84.0,21.0,1.4,0.4,0.0,0.0,4.0,
435,오리고기,525.0,1.7,26.4,45.5,132.0,0.0,140.0,2012-01-04
436,오리고기로스,508.1,2.0,25.5,43.9,127.3,0.1,834.0,2012-01-04
437,오므라이스,519.4,90.8,14.6,9.7,206.8,0.9,858.0,2012-01-04
438,오이,4.0,0.9,0.3,0.0,0.0,0.2,2.0,
439,오이생채,7.1,1.2,0.3,0.3,0.0,0.2,258.0,2012-01-04
440,오이생채(가정식),6.5,1.1,0.2,0.3,0.0,0.2,235.0,2012-01-17
441,오이생채(단체급식),12.0,1.9,0.4,0.6,0.0,0.4,423.0,2012-01-17
442,오이지,1.0,0.3,0.1,0.0,0.0,0.1,217.0,2012-01-04
443,오이지무침,7.1,1.2,0.3,0.3,0.0,0.2,258.0,2012-01-04
444,오이피클,33.7,9.3,0.2,0.1,0.0,0.2,244.0,2012-01-04
445,오징어,33.0,0.0,6.8,0.5,102.9,0.0,63.0,
446,오징어(말린것),53.0,0.0,10.2,1.0,127.0,0.0,147.0,
447,오징어국,62.0,3.7,10.2,0.8,141.7,0.6,494.0,2012-01-17
448,오징어덮밥,455.6,84.2,23.7,1.9,249.3,1.4,736.0,2012-01-04
449,오징어무침,40.0,2.8,6.1,0.6,85.8,0.3,319.0,2012-01-04
450,오징어볶음,95.0,6.8,10.6,3.2,147.8,0.5,338.0,
451,오징어젓무침,15.4,0.4,2.8,0.2,29.3,0.0,777.0,2011-12-27
452,오징어찌개,38.0,1.8,6.6,0.5,93.9,0.2,216.0,2012-01-17
453,오징어채무침,98.3,5.7,13.5,2.5,176.4,0.2,416.0,2012-01-17
454,오징어채볶음,108.0,5.3,14.2,3.2,189.6,0.1,485.0,
455,오징어튀김,46.0,2.3,4.5,1.9,63.5,0.0,39.0,2012-01-04
456,오징어포조림,31.0,2.0,4.4,0.6,58.2,0.0,137.0,2012-01-17
457,옥수수기름,35.0,0.0,0.0,4.0,0.0,0.0,0.0,2012-01-17
458,옥수수통조림,10.0,2.2,0.3,0.1,0.0,0.1,29.0,2012-01-04
459,옥수수튀밥,90.0,19.1,2.9,1.0,0.0,0.8,1.0,2012-01-17
460,올리브,4.0,1.0,0.1,0.1,0.0,0.2,2.0,2012-01-04
461,올리브유,37.0,0.0,0.0,4.0,0.0,0.0,0.0,2012-01-04
462,완두콩,8.0,1.5,0.6,0.0,0.0,0.2,0.0,2012-01-06
463,완자전,84.0,2.5,4.6,6.1,35.1,0.1,125.0,
464,요구르트(액상),98.0,22.4,2.3,0.2,0.0,0.0,93.0,
465,"요구르트(호상, 딸기)",109.0,17.7,3.5,3.0,12.1,0.1,58.0,
466,요구르트음료,55.0,12.5,1.3,0.1,0.0,0.0,52.0,
467,우거지국,30.0,3.0,3.1,0.9,5.0,0.5,542.0,2012-01-04
468,우동,370.0,56.6,20.2,5.9,148.9,0.4,2321.0,
469,우동국수(생면),177.0,36.8,4.4,0.5,0.0,0.2,192.0,2012-01-04
470,우스터소스,4.0,0.9,0.0,0.0,0.0,0.0,84.0,2012-01-17
471,우엉,10.0,2.3,0.5,0.0,0.0,0.2,1.0,2012-01-06
472,우엉조림,44.0,8.6,1.4,1.0,0.0,0.7,246.0,2012-01-04
473,우유,120.0,9.4,6.4,6.4,22.0,0.0,110.0,
474,유부,48.0,4.0,4.6,2.2,0.0,0.5,1.0,2012-01-04
475,유부초밥,463.4,81.3,16.5,8.2,0.0,1.6,444.0,
476,유자차(분말),25.0,6.3,0.0,0.0,0.0,0.1,0.0,2012-01-17
477,육개장,86.0,6.2,8.6,3.8,45.9,1.1,621.0,2012-01-04
478,율무차(분말),60.0,11.5,1.1,1.1,0.0,0.1,59.0,2012-01-17
479,은행,9.0,1.9,0.3,0.1,0.0,0.0,0.0,2012-01-04
480,이온스포츠음료,63.0,15.8,0.0,0.0,0.0,0.0,100.0,
481,인삼차(과립),28.0,6.8,0.1,0.0,0.0,0.0,2.0,2012-01-17
482,인절미,109.0,22.4,2.5,0.9,0.0,0.2,174.0,
483,임연수구이,102.0,0.0,10.3,6.3,35.0,0.0,197.0,2012-01-17
484,임연수어,83.0,0.0,9.9,4.4,33.5,0.0,55.0,2012-01-17
485,자장면,794.0,113.9,22.2,26.0,17.6,0.8,1131.0,
486,자장소스,33.0,4.4,2.4,0.8,0.0,0.2,581.0,2012-01-04
487,잔멸치볶음,16.0,0.8,1.5,0.7,3.8,0.0,56.0,2012-01-16
488,잔치국수,638.0,118.7,22.5,6.6,135.6,1.6,3489.0,2012-01-04
489,잡채,189.4,28.5,4.4,7.0,8.8,0.5,489.0,
490,잡채밥,447.4,75.4,9.5,11.0,13.5,0.5,469.0,2012-01-04
491,잣,20.0,0.3,0.4,2.0,0.0,0.0,0.0,2012-01-04
492,장어(갯장어),156.0,0.1,15.7,9.5,60.0,0.0,52.0,2012-01-04
493,장어양념구이,220.0,12.8,16.5,11.5,58.9,0.6,537.0,2012-01-04
494,장조림,45.0,2.4,6.1,1.2,17.1,0.0,388.0,
495,"재첩(재치조개,갱조개)",33.0,2.0,4.4,0.7,26.6,0.0,137.0,2012-01-17
496,적포도주,84.0,5.8,0.2,0.0,0.0,0.0,7.0,2012-01-04
497,전복,9.0,0.5,1.5,0.1,13.5,0.0,0.0,2012-01-04
498,전복죽,184.6,32.0,5.1,3.4,25.9,0.1,276.0,2012-01-04
499,전분,17.0,4.1,0.0,0.0,0.0,0.0,0.0,2012-01-17
500,절편,110.0,21.9,2.2,0.4,0.0,0.1,93.0,
501,제육(돼지고기),124.0,2.7,21.7,2.8,59.5,0.1,47.0,2012-01-04
502,조개국,28.0,1.5,4.5,0.3,9.6,0.0,292.0,
503,조기,42.0,0.0,8.2,0.8,39.2,0.0,70.0,
504,조기구이,112.0,0.0,18.3,3.8,64.9,0.0,368.0,
505,조기매운탕,80.1,5.4,12.6,1.4,40.1,0.9,690.0,2012-01-17
506,조기찜,73.0,0.8,13.6,1.4,47.6,0.1,143.0,2012-01-04
507,조기튀김,73.4,3.0,7.1,3.4,30.0,0.0,215.0,2012-01-04
508,조미분,2.0,0.3,0.2,0.0,0.0,0.0,0.0,2012-01-17
509,조미소,2.0,0.2,0.5,0.0,0.0,0.0,159.0,2012-01-17
510,족발,165.0,0.3,15.5,11.6,60.8,0.0,76.0,2012-01-04
511,주꾸미,23.0,0.2,4.9,0.2,135.5,0.0,0.0,2012-01-17
512,죽순,3.0,0.5,0.7,0.1,0.0,0.3,2.0,2012-01-04
513,중국국수(생면),393.0,78.0,12.0,1.7,0.0,0.0,574.0,2012-01-17
514,쥐치(말린것),50.0,5.1,6.3,0.3,14.1,0.0,226.0,2012-01-04
515,짬뽕,555.0,83.7,21.2,14.4,91.4,1.3,1592.0,
516,쫄면,580.3,95.6,15.4,4.4,101.7,1.3,897.0,2012-01-04
517,차조,23.0,4.6,0.6,0.3,0.0,0.1,0.0,2012-01-04
518,차조밥,383.9,84.2,6.6,0.7,0.0,0.4,7.0,2012-01-17
519,찰밥,387.9,85.3,7.1,0.4,0.0,0.5,5.0,2012-01-04
520,찰옥수수,126.0,26.5,4.4,1.1,0.0,0.5,1.0,2012-01-06
521,참기름,35.0,0.0,0.0,4.0,0.0,0.0,0.0,
522,참나물,42.1,5.5,2.6,2.2,0.0,1.1,569.0,2012-01-17
523,참나물,13.0,3.0,1.4,0.2,0.0,0.7,2.0,2012-01-17
524,참외,25.0,10.5,3.1,0.6,0.0,7.6,14.0,2012-01-06
525,참치찌개,83.0,1.6,5.2,6.1,9.7,0.3,397.0,2012-01-17
526,찹쌀,56.0,12.3,1.1,0.1,0.0,0.1,0.0,2012-01-06
527,찹쌀떡,165.0,35.3,3.4,1.0,0.0,0.4,113.0,2012-01-04
528,청국장,31.0,0.5,3.5,1.5,0.0,0.5,1082.0,2012-01-04
529,청국장찌개,79.0,2.5,8.5,4.2,2.4,0.9,1457.0,2012-01-04
530,청주,48.0,1.9,0.3,0.0,0.0,0.0,1.0,2012-01-04
531,청주,193.0,7.6,1.1,0.0,0.0,0.0,4.0,2012-01-04
532,청포묵무침,33.4,0.6,1.2,1.9,15.4,0.1,212.0,2012-01-04
533,초고추장,30.0,8.2,0.8,0.0,0.0,0.2,564.0,2012-01-04
534,초코바,248.0,32.0,4.5,11.6,4.5,0.0,161.0,2012-01-04
535,초코파이,153.0,22.3,1.5,6.6,14.7,0.0,73.0,
536,초콜릿,98.0,13.0,2.0,9.2,16.0,0.0,23.0,
537,추어탕,94.1,6.4,12.0,3.0,104.6,1.3,764.0,
538,취나물,14.0,3.2,1.5,0.2,0.0,0.8,7.0,2012-01-04
539,취나물,30.0,3.4,1.6,1.8,0.0,0.7,106.0,2012-01-04
540,취나물(말린것),23.0,5.4,2.2,0.2,0.0,1.1,0.0,2012-01-17
541,치즈,64.0,0.3,5.3,4.6,16.0,0.0,62.0,
542,"치즈,가공치즈",62.0,1.1,3.7,4.8,16.0,0.0,227.0,2012-01-04
543,"치즈,모짜렐라",32.0,1.9,2.6,1.5,2.1,0.0,98.0,2012-01-04
544,치커리,1.0,0.3,0.2,0.0,0.0,0.1,0.0,2012-01-04
545,카라멜,41.0,8.0,0.2,1.1,0.9,0.0,10.0,2012-01-17
546,카레(분말),32.0,4.7,0.8,1.2,0.0,0.1,376.0,2012-01-04
547,카레라이스,433.8,75.0,12.2,8.8,15.3,0.8,1180.0,2012-01-04
548,카스테라,162.0,27.6,3.4,4.3,129.0,0.1,53.0,2012-01-04
549,칼국수,425.0,94.5,13.4,2.6,4.3,0.6,3344.0,
550,칼국수(반건),226.0,51.8,5.8,1.3,0.0,0.2,1591.0,2012-01-04
551,캔커피,20.0,8.8,1.1,0.7,0.0,0.0,92.0,2012-01-17
552,커피(분말크림),29.0,3.6,0.5,1.4,0.0,0.0,13.0,2012-01-17
553,커피(설탕),19.0,4.4,0.4,0.0,0.0,0.0,1.0,2012-01-04
554,"커피(설탕,분말크림)",40.0,6.6,0.5,1.4,0.0,0.0,13.0,2012-01-04
555,"커피(원두,블랙)",6.0,1.1,0.3,0.0,0.0,0.0,2.0,2012-01-04
556,커피믹스,54.0,9.2,0.6,1.8,0.0,0.0,16.0,2012-01-17
557,커피분말,7.0,1.4,0.4,0.0,0.0,0.0,1.0,2012-01-17
558,커피프림,33.0,3.4,0.2,2.1,0.0,0.0,18.0,
559,케이크(생크림),317.0,41.9,3.8,15.7,6.5,0.4,122.0,2012-01-04
560,케이크(초코릿),437.0,40.2,4.7,30.4,31.6,0.2,129.0,2012-01-04
561,케이크(파운드),343.0,39.7,4.8,19.4,53.4,0.3,134.0,2012-01-04
562,콜라,100.0,25.0,0.0,0.0,0.0,0.0,0.0,
563,콩국수,738.0,111.3,40.6,16.3,0.0,4.5,2775.0,2012-01-04
564,콩기름,35.0,0.0,0.0,4.0,0.0,0.0,0.0,2012-01-17
565,콩나물,25.0,2.2,2.2,1.6,0.0,0.6,203.0,
566,콩나물,12.0,1.4,2.0,0.5,0.0,0.4,2.0,
567,콩나물국,18.2,2.3,2.6,0.6,1.0,0.6,319.0,2012-01-17
568,콩나물밥,549.3,105.2,18.0,6.2,11.6,1.9,504.0,2012-01-04
